annot	ref.count	ref.prop	count	prop	enrichment	fisher.P
UTR3	233824	0.00932249780616856	14	0.014098690835851	1.51232975635801	0.132728837310215
UTR5	71546	0.00285251910856087	0	0	0	0.126326190619352
downstream	284177	0.0113300579027968	9	0.00906344410876133	0.799946848155475	0.651145641899582
exonic	254736	0.0101562534263042	14	0.014098690835851	1.38817832167677	0.20369702012469
intergenic	11684523	0.465858680176655	200	0.201409869083585	0.432341131879758	1.32019983486045e-67
intronic	9137749	0.364319509570527	653	0.657603222557905	1.80501786284548	4.1670789756132e-78
ncRNA_exonic	259951	0.0103641740249561	1	0.00100704934541793	0.0971663871132452	0.000768934433561321
ncRNA_intronic	2884355	0.114998431126451	91	0.0916414904330312	0.796893397026115	0.019388772145708
ncRNA_splicing	1313	5.23489445886621e-05	0	0	0	1
splicing	2830	0.00011283131240359	1	0.00100704934541793	8.92526483974394	0.106000470914213
upstream	266686	0.0106326966005879	10	0.0100704934541793	0.947125064550647	1
