# MEAN_SAMPLE_SIZE = 71886
# TOTAL_GENES = 13920
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
8_pcw        COVAR   13920   0.00040701      0.01176   0.00040663      0.15844
9_pcw        COVAR   13920   0.00091945     0.021928   0.00050046       0.0331
12_pcw       COVAR   13920     0.000937     0.025575   0.00048775     0.027374
13_pcw       COVAR   13920   0.00085022     0.024234   0.00046218     0.032926
16_pcw       COVAR   13920    0.0010029     0.025707   0.00057391     0.040294
17_pcw       COVAR   13920    0.0014552     0.036094   0.00063414     0.010879
19_pcw       COVAR   13920   0.00049234     0.015282   0.00044695      0.13533
21_pcw       COVAR   13920    0.0015137     0.037642   0.00066036     0.010955
24_pcw       COVAR   13920     0.001389     0.040172   0.00057171    0.0075645
26_pcw       COVAR   13920  -0.00032544   -0.0067016   0.00098998      0.62882
37_pcw       COVAR   13920   0.00026497    0.0078436    0.0005837      0.32494
4_mos        COVAR   13920   -9.845e-05   -0.0025654    0.0012208      0.53214
10_mos       COVAR   13920  -4.1047e-05    -0.001209   0.00075127      0.52179
1_yrs        COVAR   13920   0.00043147    0.0098171   0.00087583      0.31114
2_yrs        COVAR   13920  -0.00061792    -0.012803   0.00059055      0.85229
3_yrs        COVAR   13920  -0.00074896    -0.018211   0.00069743      0.85855
4_yrs        COVAR   13920  -0.00055013    -0.018519   0.00050172      0.86356
8_yrs        COVAR   13920   -0.0014075    -0.039924   0.00083924      0.95323
11_yrs       COVAR   13920   -0.0013445    -0.034666   0.00081599      0.95028
13_yrs       COVAR   13920   -0.0010005    -0.022308   0.00095561      0.85244
15_yrs       COVAR   13920  -0.00013881   -0.0031762   0.00086222      0.56395
18_yrs       COVAR   13920   -0.0013933    -0.029032   0.00083601      0.95219
19_yrs       COVAR   13920  -0.00048126    -0.012111   0.00074476      0.74092
21_yrs       COVAR   13920  -0.00054265    -0.012448   0.00084312      0.74008
23_yrs       COVAR   13920   -0.0017332    -0.037426   0.00099323       0.9595
30_yrs       COVAR   13920  -0.00037922     -0.01074    0.0006218      0.72902
36_yrs       COVAR   13920  -0.00062941    -0.013142   0.00096057      0.74384
37_yrs       COVAR   13920  -0.00048584    -0.010281   0.00092384      0.70051
40_yrs       COVAR   13920  -0.00067842    -0.018974   0.00072108       0.8266
