annot	ref.count	ref.prop	count	prop	enrichment	fisher.P
UTR3	233824	0.00932249780616856	0	0	0	0.025417526448383
UTR5	71546	0.00285251910856087	0	0	0	0.643360289269129
downstream	284177	0.0113300579027968	9	0.0201342281879195	1.77706313247961	0.108824854694199
exonic	254736	0.0101562534263042	1	0.00223713646532438	0.220271823813525	0.147110550000397
intergenic	11684523	0.465858680176655	143	0.319910514541387	0.686711503196798	4.04625396258084e-10
intronic	9137749	0.364319509570527	147	0.328859060402685	0.90266662027064	0.127586870208007
ncRNA_exonic	259951	0.0103641740249561	14	0.0313199105145414	3.02193985156227	0.000305135233656274
ncRNA_intronic	2884355	0.114998431126451	129	0.288590604026846	2.50951774906837	2.65196741146161e-23
ncRNA_splicing	1313	5.23489445886621e-05	0	0	0	1
splicing	2830	0.00011283131240359	0	0	0	1
upstream	266686	0.0106326966005879	4	0.00894854586129754	0.841606433198024	1
