# MEAN_SAMPLE_SIZE = 46350
# TOTAL_GENES = 14044
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
8_pcw        COVAR   14044   0.00030843    0.0090318   0.00039057      0.21486
9_pcw        COVAR   14044   0.00065413     0.015795   0.00047963     0.086325
12_pcw       COVAR   14044   0.00056276     0.015603   0.00047143       0.1163
13_pcw       COVAR   14044   0.00049108     0.014235   0.00044583      0.13535
16_pcw       COVAR   14044   0.00035182    0.0091393   0.00055491      0.26304
17_pcw       COVAR   14044   0.00043885     0.011053   0.00061203      0.23668
19_pcw       COVAR   14044  -0.00022756   -0.0071705   0.00043106      0.70121
21_pcw       COVAR   14044    0.0006711     0.016943   0.00063611      0.14572
24_pcw       COVAR   14044   0.00015881    0.0046412   0.00055473      0.38734
26_pcw       COVAR   14044  -0.00011177   -0.0023288   0.00096133      0.54628
37_pcw       COVAR   14044  -0.00070835    -0.021435   0.00056637      0.89446
4_mos        COVAR   14044   -0.0012332    -0.032598    0.0011665      0.85478
10_mos       COVAR   14044    -0.001053    -0.031427   0.00072096      0.92792
1_yrs        COVAR   14044   0.00081595     0.018713   0.00084785      0.16794
2_yrs        COVAR   14044  -0.00036375   -0.0076861   0.00057411      0.73682
3_yrs        COVAR   14044  -0.00047262    -0.011798   0.00067349      0.75857
4_yrs        COVAR   14044  -0.00025458   -0.0086963   0.00049018      0.69824
8_yrs        COVAR   14044  -0.00089775    -0.026088   0.00079488      0.87063
11_yrs       COVAR   14044   2.7493e-05   0.00071342   0.00079071      0.48613
13_yrs       COVAR   14044   0.00036035    0.0081092   0.00092642      0.34865
15_yrs       COVAR   14044     0.001119     0.025705   0.00084089     0.091655
18_yrs       COVAR   14044   0.00014165    0.0030096   0.00079941      0.42968
19_yrs       COVAR   14044   0.00049579     0.012562   0.00072706      0.24765
21_yrs       COVAR   14044   0.00088483     0.020459   0.00081643      0.13924
23_yrs       COVAR   14044   0.00070616     0.015391    0.0009617       0.2314
30_yrs       COVAR   14044   0.00016584    0.0047466   0.00060557       0.3921
36_yrs       COVAR   14044    0.0015642     0.032838   0.00093387      0.04698
37_yrs       COVAR   14044    0.0018693     0.039783   0.00089457     0.018337
40_yrs       COVAR   14044   9.7121e-05      0.00275   0.00070413      0.44515
