# MEAN_SAMPLE_SIZE = 46350
# TOTAL_GENES = 17239
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE             TYPE  NGENES         BETA     BETA_STD           SE            P
Adipose_Tissue      COVAR   17239      -0.0173     -0.03393     0.014014      0.89147
Adrenal_Gland       COVAR   17239     0.009733     0.018772     0.010791      0.18355
Bladder             COVAR   17239    -0.025783     -0.05019     0.016628      0.93949
Blood               COVAR   17239   0.00023214   0.00041668    0.0064305       0.4856
Blood_Vessel        COVAR   17239   -0.0059464    -0.012054     0.012266      0.68608
Brain               COVAR   17239     0.032182     0.055833    0.0071407   3.3127e-06
Breast              COVAR   17239    -0.019328    -0.037125      0.01658      0.87814
Cervix_Uteri        COVAR   17239    0.0056109     0.011007      0.01473      0.35164
Colon               COVAR   17239     0.016214     0.030312     0.016444      0.16207
Esophagus           COVAR   17239    -0.016828    -0.031659     0.017772      0.82814
Fallopian_Tube      COVAR   17239    -0.016081    -0.031157     0.014509      0.86615
Heart               COVAR   17239    -0.019061    -0.032769      0.00991      0.97278
Kidney              COVAR   17239    -0.011783    -0.020712    0.0098523      0.88414
Liver               COVAR   17239    -0.005521   -0.0099347     0.006839      0.79024
Lung                COVAR   17239    -0.035346    -0.068261     0.010961      0.99937
Muscle              COVAR   17239    0.0051207     0.009681     0.007213      0.23888
Nerve               COVAR   17239     0.018098     0.036382      0.01083     0.047362
Ovary               COVAR   17239   0.00090869    0.0018401      0.01073      0.46626
Pancreas            COVAR   17239     0.012473     0.020837    0.0091048     0.085365
Pituitary           COVAR   17239     0.018785      0.03498    0.0086039     0.014512
Prostate            COVAR   17239  -0.00026121  -0.00049484     0.014323      0.50727
Salivary_Gland      COVAR   17239   -0.0072265    -0.013432     0.011193      0.74073
Skin                COVAR   17239    -0.011482    -0.021867     0.010406      0.86506
Small_Intestine     COVAR   17239    -0.015762    -0.028944     0.011222      0.91992
Spleen              COVAR   17239   -0.0060209    -0.011921    0.0081441      0.77013
Stomach             COVAR   17239    -0.007746    -0.014055     0.014088      0.70878
Testis              COVAR   17239    0.0074895     0.012912    0.0057681     0.097079
Thyroid             COVAR   17239   -0.0035349   -0.0069917     0.011189      0.62398
Uterus              COVAR   17239   -0.0021658   -0.0044074     0.012467      0.56896
Vagina              COVAR   17239    -0.014526    -0.027738     0.013089      0.86644
