annot	ref.count	ref.prop	count	prop	enrichment	fisher.P
UTR3	233824	0.00932249780616856	24	0.0159256801592568	1.70830613107991	0.0145771357311628
UTR5	71546	0.00285251910856087	17	0.0112806901128069	3.954641383103	2.77157233942066e-06
downstream	284177	0.0113300579027968	33	0.0218978102189781	1.93271829736834	0.000534645439199518
exonic	254736	0.0101562534263042	28	0.0185799601857996	1.82941084727941	0.00279844016865229
intergenic	11684523	0.465858680176655	436	0.289316522893165	0.621039244741464	1.73322556370826e-44
intronic	9137749	0.364319509570527	789	0.523556735235567	1.4370812473171	3.41272904233055e-36
ncRNA_exonic	259951	0.0103641740249561	11	0.0072992700729927	0.704278995645639	0.306637106400363
ncRNA_intronic	2884355	0.114998431126451	139	0.0922362309223623	0.802065124009739	0.00528862521371963
ncRNA_splicing	1313	5.23489445886621e-05	0	0	0	1
splicing	2830	0.00011283131240359	1	0.0006635700066357	5.88108028259172	0.156378619936708
upstream	266686	0.0106326966005879	29	0.0192435301924353	1.80984475672628	0.00341554814958752
