# MEAN_SAMPLE_SIZE = 54162
# TOTAL_GENES = 18644
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Curated_gene_sets:kegg_glyco...1         SET      57      0.10783    0.0059533       0.1265      0.19699 Curated_gene_sets:kegg_glycolysis_gluconeogenesis
Curated_gene_sets:kegg_citra...          SET      28    -0.016864  -0.00065304      0.14699      0.54567 Curated_gene_sets:kegg_citrate_cycle_tca_cycle
Curated_gene_sets:kegg_pento...2         SET      23      0.12567    0.0044114       0.2128      0.27741 Curated_gene_sets:kegg_pentose_phosphate_pathway
Curated_gene_sets:kegg_pento...1         SET      29      0.15261    0.0060144      0.22162      0.24553 Curated_gene_sets:kegg_pentose_and_glucuronate_interconversions
Curated_gene_sets:kegg_fruct...          SET      32      0.19073     0.007895       0.1408     0.087781 Curated_gene_sets:kegg_fructose_and_mannose_metabolism
Curated_gene_sets:kegg_galac...          SET      26   -0.0094131  -0.00035128      0.18146      0.52069 Curated_gene_sets:kegg_galactose_metabolism
Curated_gene_sets:kegg_ascor...          SET      26      0.26926     0.010049      0.24371      0.13462 Curated_gene_sets:kegg_ascorbate_and_aldarate_metabolism
Curated_gene_sets:kegg_fatty...          SET      40     0.011935   0.00055222      0.13535      0.46487 Curated_gene_sets:kegg_fatty_acid_metabolism
Curated_gene_sets:kegg_stero...1         SET      15      0.13413    0.0038032      0.22271       0.2735 Curated_gene_sets:kegg_steroid_biosynthesis
Curated_gene_sets:kegg_prima...1         SET      16     -0.10336   -0.0030266      0.21562      0.68415 Curated_gene_sets:kegg_primary_bile_acid_biosynthesis
Curated_gene_sets:kegg_stero...2         SET      54     -0.12086   -0.0064952       0.1404      0.80532 Curated_gene_sets:kegg_steroid_hormone_biosynthesis
Curated_gene_sets:kegg_oxida...          SET     114    -0.023556   -0.0018364      0.07906      0.61713 Curated_gene_sets:kegg_oxidative_phosphorylation
Curated_gene_sets:kegg_purin...          SET     151    -0.013432   -0.0012039     0.068419      0.57782 Curated_gene_sets:kegg_purine_metabolism
Curated_gene_sets:kegg_pyrim...          SET      92    -0.087451   -0.0061281     0.086782      0.84319 Curated_gene_sets:kegg_pyrimidine_metabolism
Curated_gene_sets:kegg_alani...          SET      31     -0.03707   -0.0015104       0.1512      0.59683 Curated_gene_sets:kegg_alanine_aspartate_and_glutamate_metabolism
Curated_gene_sets:kegg_glyci...          SET      28     -0.20715   -0.0080218      0.15968      0.90272 Curated_gene_sets:kegg_glycine_serine_and_threonine_metabolism
Curated_gene_sets:kegg_cyste...          SET      33    -0.023004  -0.00096699      0.15959      0.55731 Curated_gene_sets:kegg_cysteine_and_methionine_metabolism
Curated_gene_sets:kegg_valin...2         SET      42     0.034686    0.0016445      0.12914      0.39413 Curated_gene_sets:kegg_valine_leucine_and_isoleucine_degradation
