# MEAN_SAMPLE_SIZE = 54162
# TOTAL_GENES = 13948
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
8_pcw        COVAR   13948  -0.00055386    -0.016189   0.00039722      0.91838
9_pcw        COVAR   13948  -0.00047055    -0.011359   0.00049044      0.83132
12_pcw       COVAR   13948  -0.00047025    -0.013058   0.00047721      0.83778
13_pcw       COVAR   13948  -0.00053571    -0.015565   0.00044978      0.88317
16_pcw       COVAR   13948  -0.00067866    -0.017736   0.00056099       0.8868
17_pcw       COVAR   13948  -0.00094658    -0.023961   0.00061592      0.93782
19_pcw       COVAR   13948  -0.00061476    -0.019462   0.00042903      0.92405
21_pcw       COVAR   13948   -0.0010123    -0.025709   0.00064469       0.9418
24_pcw       COVAR   13948  -0.00076472    -0.022489   0.00055567      0.91561
26_pcw       COVAR   13948   -0.0010293    -0.021606   0.00095976      0.85822
37_pcw       COVAR   13948   -0.0003225   -0.0098541   0.00055099      0.72082
4_mos        COVAR   13948   -0.0011318    -0.030059    0.0011853      0.83016
10_mos       COVAR   13948   0.00074051     0.022246   0.00072465      0.15343
1_yrs        COVAR   13948   0.00090805     0.020943   0.00084962       0.1426
2_yrs        COVAR   13948  -0.00030796   -0.0065714   0.00058045      0.70213
3_yrs        COVAR   13948  -0.00017081   -0.0042991   0.00066393      0.60151
4_yrs        COVAR   13948   0.00023932    0.0082037   0.00049503      0.31439
8_yrs        COVAR   13948   0.00082303     0.024132   0.00079252      0.14953
11_yrs       COVAR   13948    0.0010347     0.027004   0.00079239     0.095823
13_yrs       COVAR   13948   0.00092939     0.021075   0.00092586      0.15774
15_yrs       COVAR   13948    0.0011296     0.026146   0.00083871     0.089038
18_yrs       COVAR   13948  -0.00023842   -0.0051057   0.00080896       0.6159
19_yrs       COVAR   13948   0.00059039     0.015074   0.00072697      0.20837
21_yrs       COVAR   13948   0.00074306     0.017329   0.00081429      0.18075
23_yrs       COVAR   13948   0.00051578     0.011351   0.00095329      0.29424
30_yrs       COVAR   13948   0.00032433    0.0093414    0.0006057      0.29617
36_yrs       COVAR   13948    0.0010435     0.022022   0.00092573      0.12985
37_yrs       COVAR   13948    0.0011301     0.024223   0.00088737      0.10143
40_yrs       COVAR   13948   0.00088554      0.02518   0.00069029     0.099785
