annot	ref.count	ref.prop	count	prop	enrichment	fisher.P
UTR3	233824	0.00932249780616856	67	0.0136818460281805	1.46761590215955	0.00281179439367711
UTR5	71546	0.00285251910856087	40	0.00816826628548091	2.86352728048924	9.43728276117322e-09
downstream	284177	0.0113300579027968	67	0.0136818460281805	1.20757070666013	0.120199166216483
exonic	254736	0.0101562534263042	65	0.0132734327139065	1.30692216477475	0.0324348928194175
intergenic	11684523	0.465858680176655	574	0.117214621196651	0.25160982543505	0
intronic	9137749	0.364319509570527	2674	0.546048601184399	1.49881789703796	4.77005992410582e-147
ncRNA_exonic	259951	0.0103641740249561	87	0.017765979170921	1.71417221750059	2.76499241914788e-06
ncRNA_intronic	2884355	0.114998431126451	1261	0.257504594649786	2.23920093628613	1.33709941761716e-166
ncRNA_splicing	1313	5.23489445886621e-05	0	0	0	1
splicing	2830	0.00011283131240359	0	0	0	1
upstream	266686	0.0106326966005879	62	0.0126608127424954	1.19074334743976	0.163266428126873
