# MEAN_SAMPLE_SIZE = 24564
# TOTAL_GENES = 17778
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Curated_gene_sets:kegg_glyco...1         SET      52    -0.038451   -0.0020766      0.12579      0.62007 Curated_gene_sets:kegg_glycolysis_gluconeogenesis
Curated_gene_sets:kegg_citra...          SET      26     -0.41381    -0.015814      0.17284      0.99166 Curated_gene_sets:kegg_citrate_cycle_tca_cycle
Curated_gene_sets:kegg_pento...2         SET      21      0.15955    0.0054806      0.20643      0.21979 Curated_gene_sets:kegg_pentose_phosphate_pathway
Curated_gene_sets:kegg_pento...1         SET      28     -0.20746   -0.0082271      0.24097      0.80536 Curated_gene_sets:kegg_pentose_and_glucuronate_interconversions
Curated_gene_sets:kegg_fruct...          SET      29      0.13228    0.0053386      0.16128      0.20605 Curated_gene_sets:kegg_fructose_and_mannose_metabolism
Curated_gene_sets:kegg_galac...          SET      24     -0.12382   -0.0045465      0.18642      0.74671 Curated_gene_sets:kegg_galactose_metabolism
Curated_gene_sets:kegg_ascor...          SET      26     -0.61248    -0.023406      0.23251      0.99578 Curated_gene_sets:kegg_ascorbate_and_aldarate_metabolism
Curated_gene_sets:kegg_fatty...          SET      37     -0.22566    -0.010284      0.14579      0.93916 Curated_gene_sets:kegg_fatty_acid_metabolism
Curated_gene_sets:kegg_stero...1         SET      14      0.31829    0.0089285      0.22834     0.081678 Curated_gene_sets:kegg_steroid_biosynthesis
Curated_gene_sets:kegg_prima...1         SET      14      0.31014    0.0086999       0.2396     0.097774 Curated_gene_sets:kegg_primary_bile_acid_biosynthesis
Curated_gene_sets:kegg_stero...2         SET      49     -0.17445   -0.0091464      0.15037      0.87701 Curated_gene_sets:kegg_steroid_hormone_biosynthesis
Curated_gene_sets:kegg_oxida...          SET     108    -0.097306   -0.0075613     0.083976      0.87671 Curated_gene_sets:kegg_oxidative_phosphorylation
