# TOTAL_GENES = 13150
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
8_pcw        COVAR   13150   -0.0002445    -0.007314   0.00044212      0.70987
9_pcw        COVAR   13150  -0.00058348    -0.014332   0.00054693      0.85697
12_pcw       COVAR   13150  -0.00045128    -0.012841   0.00052269      0.80603
13_pcw       COVAR   13150  -0.00042872    -0.012788   0.00049362      0.80743
16_pcw       COVAR   13150  -0.00068863    -0.018357   0.00061589      0.86823
17_pcw       COVAR   13150  -0.00077359    -0.019927   0.00067708      0.87337
19_pcw       COVAR   13150  -0.00037014    -0.011994    0.0004724      0.78333
21_pcw       COVAR   13150  -0.00063496    -0.016383   0.00071266      0.81352
24_pcw       COVAR   13150   -0.0008358    -0.025031   0.00061364       0.9134
26_pcw       COVAR   13150  -0.00089626    -0.019002    0.0010455      0.80433
37_pcw       COVAR   13150   0.00075298     0.023517    0.0006109      0.10888
4_mos        COVAR   13150  -0.00019389   -0.0051885    0.0012877      0.55984
10_mos       COVAR   13150  -9.4152e-05   -0.0028617   0.00079446      0.54717
1_yrs        COVAR   13150   0.00083096     0.019272   0.00092874      0.18548
2_yrs        COVAR   13150  -0.00081596    -0.017286   0.00066045      0.89166
3_yrs        COVAR   13150  -0.00049775    -0.012534   0.00075416      0.74537
4_yrs        COVAR   13150   0.00024875    0.0086448   0.00053534      0.32109
8_yrs        COVAR   13150   0.00011267     0.003342   0.00085809      0.44777
11_yrs       COVAR   13150    0.0014401     0.037601   0.00086238     0.047474
13_yrs       COVAR   13150   0.00065202     0.014826     0.001004      0.25804
15_yrs       COVAR   13150    0.0010932     0.024986   0.00092018      0.11742
18_yrs       COVAR   13150  -0.00034977   -0.0074835   0.00089643       0.6518
19_yrs       COVAR   13150   0.00062517     0.015915   0.00079445      0.21567
21_yrs       COVAR   13150    0.0015699     0.036421   0.00089179     0.039183
23_yrs       COVAR   13150   0.00075692     0.016643    0.0010506      0.23562
30_yrs       COVAR   13150   0.00038689     0.011175   0.00066495      0.28034
36_yrs       COVAR   13150   0.00090402     0.018967    0.0010137      0.18626
37_yrs       COVAR   13150    0.0011532     0.024539   0.00098343      0.12049
40_yrs       COVAR   13150   0.00033453    0.0095425   0.00076091       0.3301
