# TOTAL_GENES = 16144
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Adipose_Subcutaneous                COVAR   16144    -0.010632    -0.021182     0.012383      0.80471 Adipose_Subcutaneous
Adipose_Visceral_Omentum            COVAR   16144     -0.01017     -0.01972     0.012886      0.78501 Adipose_Visceral_Omentum
Adrenal_Gland                       COVAR   16144     0.027728     0.053489     0.011519    0.0080436 Adrenal_Gland
Artery_Aorta                        COVAR   16144     -0.01342    -0.027345     0.011799      0.87231 Artery_Aorta
Artery_Coronary                     COVAR   16144    -0.014759    -0.029338     0.013717      0.85903 Artery_Coronary
Artery_Tibial                       COVAR   16144    -0.015587    -0.032051     0.011527      0.91184 Artery_Tibial
Bladder                             COVAR   16144    -0.001398   -0.0027194     0.015056      0.53699 Bladder
Brain_Amygdala                      COVAR   16144      0.01378     0.023465    0.0090017     0.062919 Brain_Amygdala
Brain_Anterior_cingulate_cor...     COVAR   16144     0.013952     0.024642    0.0082875     0.046143 Brain_Anterior_cingulate_cortex_BA24
Brain_Caudate_basal_ganglia         COVAR   16144      0.01329     0.022936    0.0090431     0.070836 Brain_Caudate_basal_ganglia
Brain_Cerebellar_Hemisphere         COVAR   16144    0.0052233     0.010471    0.0069839      0.22726 Brain_Cerebellar_Hemisphere
Brain_Cerebellum                    COVAR   16144    0.0045924    0.0091095     0.007188      0.26145 Brain_Cerebellum
Brain_Cortex                        COVAR   16144     0.013504     0.024624     0.008193     0.049666 Brain_Cortex
Brain_Frontal_Cortex_BA9            COVAR   16144     0.014397     0.026522    0.0078997     0.034202 Brain_Frontal_Cortex_BA9
Brain_Hippocampus                   COVAR   16144     0.013525     0.022898    0.0091644     0.070004 Brain_Hippocampus
Brain_Hypothalamus                  COVAR   16144     0.015713     0.027042     0.009316     0.045849 Brain_Hypothalamus
Brain_Nucleus_accumbens_basa...     COVAR   16144     0.017024     0.029513    0.0087308     0.025604 Brain_Nucleus_accumbens_basal_ganglia
Brain_Putamen_basal_ganglia         COVAR   16144     0.010291     0.017495    0.0091108      0.12934 Brain_Putamen_basal_ganglia
Brain_Spinal_cord_cervical_c...     COVAR   16144     0.012495     0.022437    0.0098931      0.10331 Brain_Spinal_cord_cervical_c-1
Brain_Substantia_nigra              COVAR   16144     0.010242     0.017624    0.0098528       0.1493 Brain_Substantia_nigra
Breast_Mammary_Tissue               COVAR   16144     -0.01299    -0.024934     0.014559      0.81385 Breast_Mammary_Tissue
Cells_Cultured_fibroblasts          COVAR   16144   -0.0063555      -0.0136    0.0074755      0.80238 Cells_Cultured_fibroblasts
Cells_EBV-transformed_lympho...     COVAR   16144   -0.0029495   -0.0064277    0.0055758      0.70159 Cells_EBV-transformed_lymphocytes
Cervix_Ectocervix                   COVAR   16144    0.0058994     0.011546     0.013906       0.3357 Cervix_Ectocervix
Cervix_Endocervix                   COVAR   16144    0.0060786     0.012016     0.013311      0.32396 Cervix_Endocervix
Colon_Sigmoid                       COVAR   16144     -0.01837    -0.035877     0.014487       0.8976 Colon_Sigmoid
Colon_Transverse                    COVAR   16144     -0.01011    -0.018563     0.013266      0.77699 Colon_Transverse
Esophagus_Gastroesophageal_J...     COVAR   16144    -0.024073     -0.04732     0.014826      0.94777 Esophagus_Gastroesophageal_Junction
Esophagus_Mucosa                    COVAR   16144   -0.0023345   -0.0045086    0.0087732      0.60491 Esophagus_Mucosa
Esophagus_Muscularis                COVAR   16144    -0.020911     -0.04119      0.01435      0.92747 Esophagus_Muscularis
Fallopian_Tube                      COVAR   16144    0.0011706    0.0022668     0.013629      0.46578 Fallopian_Tube
Heart_Atrial_Appendage              COVAR   16144    -0.023859    -0.042794     0.010983      0.98507 Heart_Atrial_Appendage
Heart_Left_Ventricle                COVAR   16144    -0.019754    -0.032956      0.01048      0.97027 Heart_Left_Ventricle
Kidney_Cortex                       COVAR   16144   -0.0020418   -0.0035872     0.010356      0.57815 Kidney_Cortex
Kidney_Medulla                      COVAR   16144   -0.0040392   -0.0074644     0.010619      0.64816 Kidney_Medulla
Liver                               COVAR   16144   -0.0079815    -0.014367    0.0072674      0.86395 Liver
Lung                                COVAR   16144    0.0028943    0.0055884     0.010543      0.39184 Lung
Minor_Salivary_Gland                COVAR   16144    -0.014173    -0.026358     0.011041      0.90037 Minor_Salivary_Gland
Muscle_Skeletal                     COVAR   16144    -0.012931    -0.024433    0.0079022      0.94911 Muscle_Skeletal
Nerve_Tibial                        COVAR   16144    0.0072141     0.014496     0.011672      0.26827 Nerve_Tibial
Ovary                               COVAR   16144  -0.00012292   -0.0002489     0.011127      0.50441 Ovary
Pancreas                            COVAR   16144    0.0025382    0.0042518    0.0096296      0.39605 Pancreas
Pituitary                           COVAR   16144     0.018676      0.03481     0.010262     0.034389 Pituitary
Prostate                            COVAR   16144   -0.0044341   -0.0084057      0.01365      0.62735 Prostate
Skin_Not_Sun_Exposed_Suprapu...     COVAR   16144   -0.0014143   -0.0027252    0.0089133      0.56303 Skin_Not_Sun_Exposed_Suprapubic
Skin_Sun_Exposed_Lower_leg          COVAR   16144   -0.0016842   -0.0032652    0.0089364      0.57474 Skin_Sun_Exposed_Lower_leg
Small_Intestine_Terminal_Ile...     COVAR   16144    0.0016313    0.0029953     0.010921      0.44063 Small_Intestine_Terminal_Ileum
Spleen                              COVAR   16144    -0.013132    -0.025982    0.0084441      0.94004 Spleen
Stomach                             COVAR   16144    -0.018163    -0.032987      0.01373      0.90706 Stomach
Testis                              COVAR   16144    -0.005276   -0.0091249     0.006401      0.79509 Testis
Thyroid                             COVAR   16144    -0.004142   -0.0081918     0.011063      0.64595 Thyroid
Uterus                              COVAR   16144   -0.0053871    -0.010959     0.012531      0.66637 Uterus
Vagina                              COVAR   16144    0.0042676    0.0081491      0.01264      0.36782 Vagina
Whole_Blood                         COVAR   16144   -0.0064667    -0.011693    0.0064192      0.84312 Whole_Blood
