# TOTAL_GENES = 16144
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE             TYPE  NGENES         BETA     BETA_STD           SE            P
Adipose_Tissue      COVAR   16144   -0.0077743    -0.015236     0.015556      0.69138
Adrenal_Gland       COVAR   16144     0.034913     0.067348     0.011889    0.0016612
Bladder             COVAR   16144    0.0095848     0.018644     0.018671      0.30385
Blood               COVAR   16144   -0.0060208    -0.010813    0.0070906      0.80209
Blood_Vessel        COVAR   16144    -0.011836    -0.023983     0.013572      0.80842
Brain               COVAR   16144     0.014691     0.025498    0.0079238     0.031875
Breast              COVAR   16144    -0.009962    -0.019123     0.018375      0.70614
Cervix_Uteri        COVAR   16144     0.018106     0.035516     0.016408      0.13492
Colon               COVAR   16144    -0.011891    -0.022221     0.018294      0.74215
Esophagus           COVAR   16144     -0.01569    -0.029512     0.019849      0.78536
Fallopian_Tube      COVAR   16144     0.010071     0.019504     0.016085      0.26561
Heart               COVAR   16144    -0.018428    -0.031688     0.011026      0.95266
Kidney              COVAR   16144    0.0012762    0.0022451     0.010919      0.45348
Liver               COVAR   16144   -0.0070964    -0.012774    0.0074985      0.82802
Lung                COVAR   16144    0.0079091     0.015271     0.012245      0.25918
Muscle              COVAR   16144    -0.010442     -0.01973    0.0078646      0.90785
Nerve               COVAR   16144     0.013544     0.027214     0.012098      0.13148
Ovary               COVAR   16144    0.0050763     0.010279     0.011849      0.33417
Pancreas            COVAR   16144    0.0055467    0.0092914     0.010057      0.29064
Pituitary           COVAR   16144     0.020494     0.038197    0.0095707     0.016132
Prostate            COVAR   16144    0.0021348     0.004047     0.015845      0.44641
Salivary_Gland      COVAR   16144    -0.013725    -0.025524     0.012483      0.86421
Skin                COVAR   16144   -0.0017093   -0.0032549     0.011641      0.55837
Small_Intestine     COVAR   16144     0.006158     0.011307     0.012357      0.30913
Spleen              COVAR   16144    -0.012921    -0.025565    0.0090825      0.92257
Stomach             COVAR   16144    -0.015848    -0.028782     0.015644      0.84447
Testis              COVAR   16144   -0.0042447   -0.0073413     0.006408      0.74614
Thyroid             COVAR   16144  -0.00034662  -0.00068552     0.012417      0.51113
Uterus              COVAR   16144    0.0005466    0.0011119     0.013821      0.48423
Vagina              COVAR   16144     0.012468     0.023808     0.014612      0.19676
