# ALPHA = 0.05
# NUMBER_OF_TESTS = 15484

# _SET1_  VARIABLE = Curated_gene_sets:roversi_glioma_copy_number_up (set)
# _SET1_  NGENES = 97
# _SET1_  P-VALUE = 1.65838e-08
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000136542     2  158114110  158170723    139      11  54162     -0.89482      0.76794   -3.3307e-15     -0.89482
_SET1_   ENSG00000114346     3  172468472  172539264    125      10  54162       0.1576      0.36883   -3.2752e-15       0.1576
_SET1_   ENSG00000144962     3  172607148  172859058    552      39  54162    -0.024238      0.43087   -3.2856e-15    -0.024238
_SET1_   ENSG00000169760     3  173114074  174004434   2145     114  54162      -1.5325      0.90799   -3.3307e-15      -1.5325
_SET1_   ENSG00000189184     4  138440072  138453648     26       5  54162      -0.1762      0.51118   -3.2752e-15      -0.1762
_SET1_   ENSG00000151012     4  139085251  139163503    187      19  54162      0.63639      0.20305   -3.3307e-15      0.63639
_SET1_   ENSG00000109586     4  174089904  174245118    252      23  54162      -1.5016      0.90581   -3.3307e-15      -1.5016
_SET1_   ENSG00000164574     5  153570290  153800544    745      53  54162       1.5986     0.035274   -3.3307e-15       1.5986
_SET1_   ENSG00000188107     6   64429876   66417118   5434     110  54162       1.6105     0.033488   -3.3307e-15       1.6105
_SET1_   ENSG00000106537     7   16793160   16824161    107      14  54162     -0.93456       0.7737   -3.3307e-15     -0.93456
_SET1_   ENSG00000106546     7   17338246   17385776     41      10  54162     -0.17315      0.50501   -3.2752e-15     -0.17315
_SET1_   ENSG00000155849     7   36893961   37488852   1632     107  54162      0.27112      0.31845   -3.2752e-15      0.27112
_SET1_   ENSG00000004948     7   93053799   93204042    332      25  54162      -1.6949      0.93239   -3.3307e-15      -1.6949
_SET1_   ENSG00000170615     7  102993177  103086624    186      23  54162       1.0307      0.11285   -3.3307e-15       1.0307
_SET1_   ENSG00000189056     7  103112231  103629963   1877      99  54162      0.69409      0.18313   -3.3307e-15      0.69409
_SET1_   ENSG00000164815     7  103766788  103848495    215      15  54162      0.18988      0.35107   -3.2752e-15      0.18988
_SET1_   ENSG00000005483     7  104654626  104754808    124       9  54162   -0.0051465      0.43376   -3.2847e-15   -0.0051465
_SET1_   ENSG00000008282     7  105730949  105753022     48      10  54162       2.2553    0.0077428   -3.1086e-15       2.2553
_SET1_   ENSG00000105835     7  105888731  105926772     79      10  54162     -0.68169       0.6955   -3.3307e-15     -0.68169
_SET1_   ENSG00000105851     7  106505723  106547590     73      15  54162     -0.99346      0.79527   -3.3307e-15     -0.99346
_SET1_   ENSG00000157680     7  137065783  137531838    724      53  54162      0.87289      0.14087   -3.3307e-15      0.87289
_SET1_   ENSG00000033050     7  150904923  150924316     61       9  54162     -0.19046      0.51062   -3.2752e-15     -0.19046
_SET1_   ENSG00000082014     7  150935850  150974982    101      17  54162     -0.78789      0.72697   -3.3307e-15     -0.78789
_SET1_   ENSG00000013374     7  151038785  151075535    117      17  54162      0.96749      0.12546   -3.3307e-15      0.96749
_SET1_   ENSG00000106615     7  151163098  151217206     81       8  54162      -1.1408       0.8324   -3.3307e-15      -1.1408
_SET1_   ENSG00000106617     7  151253197  151574210    948     105  54162     -0.80281      0.72662   -3.3307e-15     -0.80281
_SET1_   ENSG00000178234     7  151722759  151819425     98       4  54162     -0.37737      0.59089   -3.2752e-15     -0.37737
_SET1_   ENSG00000055609     7  151832010  152133090    176       5  54162      0.35724      0.30328   -3.2752e-15      0.35724
_SET1_   ENSG00000196584     7  152341864  152373250     82      12  54162      0.92462      0.13791   -3.3307e-15      0.92462
_SET1_   ENSG00000155093     7  157331750  158380480   3108     189  54162      0.56675      0.21654   -3.3307e-15      0.56675
_SET1_   ENSG00000106018     7  158820866  158937649    329      19  54162     -0.56288       0.6456   -3.3307e-15     -0.56288
_SET1_   ENSG00000019505    11   45261852   45307870    117      13  54162      -0.2105      0.51142   -3.2752e-15      -0.2105
_SET1_   ENSG00000175264    11   45670427   45687172     38       6  54162       0.7178      0.18936   -3.3307e-15       0.7178
_SET1_   ENSG00000181830    11   45825623   45834566     25       8  54162      0.56386      0.23745   -3.3307e-15      0.56386
_SET1_   ENSG00000121671    11   45868669   45904798     63      12  54162       3.0828     0.000577   -3.1086e-15       3.0828
_SET1_   ENSG00000121653    11   45907202   45928016     31      11  54162        1.901     0.020164   -3.3307e-15        1.901
_SET1_   ENSG00000121680    11   45931220   45940363     17       4  54162      0.92932      0.14306   -3.3307e-15      0.92932
_SET1_   ENSG00000135365    11   45950871   46142985    290      16  54162     -0.12887      0.47795   -3.2752e-15     -0.12887
_SET1_   ENSG00000157613    11   46299212   46342972     68      12  54162      0.89426      0.14335   -3.3307e-15      0.89426
_SET1_   ENSG00000149091    11   46354455   46402104     46       9  54162       1.2403     0.081535   -3.3307e-15       1.2403
_SET1_   ENSG00000110492    11   46402306   46405375      1       1  54162      -1.9522       0.9695   -3.3307e-15      -1.9522
_SET1_   ENSG00000180720    11   46406640   46408107      1       1  54162       1.2072      0.09843   -3.3307e-15       1.2072
_SET1_   ENSG00000175220    11   46698630   46722165     23       7  54162       2.1045     0.012307   -3.1086e-15       2.1045
_SET1_   ENSG00000175213    11   46722368   46727462      5       2  54162      0.60039      0.23621   -3.3307e-15      0.60039
_SET1_   ENSG00000180210    11   46740730   46761056     46       6  54162    -0.038217      0.45554   -3.2821e-15    -0.038217
_SET1_   ENSG00000175216    11   46764598   46867847    133      16  54162      0.46624      0.26178   -3.2752e-15      0.46624
_SET1_   ENSG00000134569    11   46878419   46940193     84       9  54162     -0.41347      0.59876   -3.2752e-15     -0.41347
