GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000269831	1	738532	739137	1	1	1474097	-0.58284	0.72	AL669831.1
ENSG00000269308	1	818043	819983	7	5	1474097	-1.5493	0.93935	AL645608.2
ENSG00000187634	1	860260	879955	140	37	1474097	0.51207	0.3043	SAMD11
ENSG00000268179	1	861264	866445	45	14	1474097	1.2183	0.11156	AL645608.1
ENSG00000188976	1	879584	894689	112	28	1474097	-0.63324	0.73671	NOC2L
ENSG00000187961	1	895967	901095	37	12	1474097	0.3027	0.38106	KLHL17
ENSG00000187583	1	901877	911245	72	36	1474097	0.30918	0.37859	PLEKHN1
ENSG00000187642	1	910579	917497	39	13	1474097	-0.64823	0.74158	C1orf170
ENSG00000188290	1	934342	935552	7	4	1474097	1.2841	0.099552	HES4
ENSG00000187608	1	948803	949920	12	6	1474097	-0.418	0.66203	ISG15
ENSG00000188157	1	955503	991496	251	50	1474097	-0.29707	0.61679	AGRN
ENSG00000237330	1	1006346	1009687	18	9	1474097	0.25854	0.398	RNF223
ENSG00000131591	1	1017198	1051741	201	40	1474097	-0.16764	0.56657	C1orf159
ENSG00000162571	1	1109264	1133315	215	37	1474097	0.73465	0.23128	TTLL10
ENSG00000186891	1	1138888	1142071	25	11	1474097	0.67536	0.24972	TNFRSF18
ENSG00000186827	1	1146706	1149518	14	7	1474097	0.12071	0.45196	TNFRSF4
ENSG00000078808	1	1152288	1167411	139	14	1474097	0.22953	0.40923	SDF4
ENSG00000176022	1	1167629	1170421	14	6	1474097	-0.46281	0.67825	B3GALT6
ENSG00000184163	1	1177826	1182102	20	7	1474097	-0.3798	0.64795	FAM132A
ENSG00000160087	1	1189289	1209265	94	23	1474097	0.24501	0.40323	UBE2J2
ENSG00000162572	1	1215816	1227409	81	34	1474097	-0.37153	0.64488	SCNN1D
ENSG00000131584	1	1227756	1244989	102	30	1474097	-1.4428	0.92546	ACAP3
ENSG00000169972	1	1243947	1247057	15	9	1474097	1.0362	0.15005	PUSL1
ENSG00000127054	1	1246965	1260071	66	28	1474097	0.29921	0.38239	CPSF3L
ENSG00000224051	1	1260136	1264277	23	8	1474097	0.7464	0.22771	GLTPD1
ENSG00000169962	1	1266694	1270686	33	18	1474097	0.80349	0.21085	TAS1R3
ENSG00000107404	1	1270656	1284730	86	30	1474097	0.55623	0.28903	DVL1
ENSG00000162576	1	1288069	1297157	54	17	1474097	-0.36738	0.64333	MXRA8
ENSG00000175756	1	1309110	1310875	16	7	1474097	-0.29875	0.61743	AURKAIP1
ENSG00000221978	1	1321091	1334708	58	31	1474097	-0.021702	0.50866	CCNL2
ENSG00000224870	1	1334902	1337426	16	7	1474097	-0.72334	0.76526	RP4-758J18.2
ENSG00000242485	1	1337288	1342693	24	11	1474097	-0.56628	0.7144	MRPL20
ENSG00000235098	1	1353800	1357149	21	9	1474097	0.083163	0.46686	ANKRD65
ENSG00000205116	1	1361508	1363167	11	5	1474097	0.74884	0.22698	TMEM88B
ENSG00000179403	1	1370241	1378262	34	12	1474097	-0.37094	0.64466	VWA1
ENSG00000215915	1	1385069	1405538	114	28	1474097	-1.0861	0.86129	ATAD3C
ENSG00000160072	1	1407143	1433228	161	32	1474097	0.16136	0.43591	ATAD3B
ENSG00000197785	1	1447531	1470067	149	43	1474097	-0.89614	0.81491	ATAD3A
ENSG00000205090	1	1470554	1475833	21	11	1474097	-0.56532	0.71407	TMEM240
ENSG00000160075	1	1477053	1510249	149	26	1474097	-0.075458	0.53007	SSU72
ENSG00000215014	1	1510355	1511373	3	1	1474097	1.2788	0.10048	AL645728.1
ENSG00000228594	1	1533392	1535476	5	3	1474097	0.6811	0.2479	C1orf233
ENSG00000197530	1	1550795	1565990	65	21	1474097	-0.84098	0.79982	MIB2
ENSG00000248333	1	1570603	1590473	32	10	1474097	-1.4093	0.92062	CDK11B
ENSG00000189339	1	1592939	1624167	105	34	1474097	-1.5612	0.94076	SLC35E2B
ENSG00000008128	1	1634169	1655766	68	11	1474097	1.3629	0.086457	CDK11A
ENSG00000215790	1	1656277	1677431	71	26	1474097	1.317	0.093924	SLC35E2
ENSG00000008130	1	1682671	1711896	139	33	1474097	-0.099077	0.53946	NADK
ENSG00000078369	1	1716729	1822495	368	64	1474097	-0.32273	0.62655	GNB1
ENSG00000169885	1	1846266	1848735	16	6	1474097	0.035182	0.48597	CALML6
ENSG00000178821	1	1849029	1850712	9	4	1474097	0.07549	0.46991	TMEM52
ENSG00000142609	1	1853396	1935276	565	59	1474097	-1.0348	0.84962	C1orf222
ENSG00000187730	1	1950780	1962192	59	21	1474097	-0.28182	0.61096	GABRD
ENSG00000067606	1	1981909	2116834	830	66	1474097	0.047766	0.48095	PRKCZ
ENSG00000162585	1	2115903	2144159	102	35	1474097	-0.51993	0.69844	C1orf86
ENSG00000269554	1	2121237	2123179	6	4	1474097	-0.021309	0.5085	AL590822.2
ENSG00000203301	1	2143360	2145620	13	8	1474097	-1.4429	0.92547	AL590822.1
ENSG00000157933	1	2160134	2241558	433	104	1474097	-2.0638	0.98048	SKI
ENSG00000116151	1	2252692	2323146	476	73	1474097	-0.34016	0.63313	MORN1
ENSG00000269753	1	2258581	2259042	1	1	1474097	-0.46882	0.6804	AL589739.1
ENSG00000157916	1	2323267	2336883	64	27	1474097	0.18741	0.42567	RER1
ENSG00000157911	1	2336236	2345236	48	20	1474097	0.43413	0.3321	PEX10
ENSG00000149527	1	2357419	2436969	512	82	1474097	0.65878	0.25502	PLCH2
ENSG00000157881	1	2439972	2458039	108	29	1474097	0.38604	0.34973	PANK4
ENSG00000197921	1	2460184	2461684	6	4	1474097	-1.1303	0.87082	HES5
ENSG00000157873	1	2487078	2496821	47	18	1474097	1.0787	0.14036	TNFRSF14
ENSG00000157870	1	2517930	2522908	31	19	1474097	-0.99802	0.84087	FAM213B
ENSG00000142606	1	2522078	2564481	255	23	1474097	-2.1716	0.98506	MMEL1
ENSG00000215912	1	2567415	2718286	241	46	1474097	-1.8289	0.96629	TTC34
ENSG00000169717	1	2938046	2939465	8	4	1474097	-0.067366	0.52685	ACTRT2
ENSG00000142611	1	2985732	3355185	2587	286	1474097	0.3065	0.37961	PRDM16
ENSG00000130762	1	3370990	3397677	174	35	1474097	-0.23791	0.59403	ARHGEF16
