GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000187634	1	860260	879955	7	2	46350	-0.30823	0.62105	SAMD11
ENSG00000268179	1	861264	866445	1	1	46350	-0.74347	0.7714	AL645608.1
ENSG00000188976	1	879584	894689	35	2	46350	0.047717	0.48097	NOC2L
ENSG00000187961	1	895967	901095	19	2	46350	-0.032273	0.51287	KLHL17
ENSG00000187583	1	901877	911245	9	4	46350	1.1717	0.12066	PLEKHN1
ENSG00000187642	1	910579	917497	21	4	46350	2.0663	0.019402	C1orf170
ENSG00000188290	1	934342	935552	4	2	46350	0.76334	0.22263	HES4
ENSG00000187608	1	948803	949920	5	1	46350	-0.17934	0.57117	ISG15
ENSG00000188157	1	955503	991496	50	5	46350	0.94292	0.17286	AGRN
ENSG00000237330	1	1006346	1009687	5	2	46350	0.03797	0.48486	RNF223
ENSG00000131591	1	1017198	1051741	97	6	46350	-0.3494	0.6366	C1orf159
ENSG00000162571	1	1109264	1133315	97	12	46350	0.58268	0.28006	TTLL10
ENSG00000186891	1	1138888	1142071	9	2	46350	-1.1485	0.87462	TNFRSF18
ENSG00000186827	1	1146706	1149518	4	1	46350	0.20821	0.41753	TNFRSF4
ENSG00000078808	1	1152288	1167411	95	3	46350	-1.1193	0.8685	SDF4
ENSG00000176022	1	1167629	1170421	4	2	46350	-0.42736	0.66544	B3GALT6
ENSG00000184163	1	1177826	1182102	10	2	46350	-0.79277	0.78604	FAM132A
ENSG00000160087	1	1189289	1209265	38	4	46350	-0.2831	0.61145	UBE2J2
ENSG00000162572	1	1215816	1227409	31	8	46350	-0.99122	0.83921	SCNN1D
ENSG00000131584	1	1227756	1244989	39	5	46350	-0.37406	0.64582	ACAP3
ENSG00000169972	1	1243947	1247057	3	2	46350	-0.43945	0.66983	PUSL1
ENSG00000127054	1	1246965	1260071	16	3	46350	-0.81664	0.79293	CPSF3L
ENSG00000224051	1	1260136	1264277	10	2	46350	-1.6335	0.94882	GLTPD1
ENSG00000169962	1	1266694	1270686	12	3	46350	-1.6389	0.94939	TAS1R3
ENSG00000107404	1	1270656	1284730	39	6	46350	-0.82192	0.79444	DVL1
ENSG00000162576	1	1288069	1297157	30	4	46350	-0.95139	0.8293	MXRA8
ENSG00000175756	1	1309110	1310875	7	3	46350	-0.96877	0.83367	AURKAIP1
ENSG00000221978	1	1321091	1334708	21	4	46350	-0.24692	0.59752	CCNL2
ENSG00000224870	1	1334902	1337426	10	3	46350	-0.52606	0.70058	RP4-758J18.2
ENSG00000242485	1	1337288	1342693	13	4	46350	-0.36567	0.64269	MRPL20
ENSG00000235098	1	1353800	1357149	8	2	46350	0.20398	0.41919	ANKRD65
ENSG00000205116	1	1361508	1363167	4	2	46350	-1.9852	0.97644	TMEM88B
ENSG00000179403	1	1370241	1378262	22	5	46350	-1.1399	0.87283	VWA1
ENSG00000215915	1	1385069	1405538	64	6	46350	0.51214	0.30428	ATAD3C
ENSG00000160072	1	1407143	1433228	52	6	46350	1.4741	0.07023	ATAD3B
ENSG00000197785	1	1447531	1470067	87	9	46350	-0.027388	0.51092	ATAD3A
ENSG00000205090	1	1470554	1475833	9	3	46350	0.016727	0.49333	TMEM240
ENSG00000160075	1	1477053	1510249	108	8	46350	-0.29392	0.61559	SSU72
ENSG00000215014	1	1510355	1511373	6	2	46350	0.11135	0.45567	AL645728.1
