ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000203710	CR1	1	207669492	207813992	1	protein_coding	1378	CR1	9.34032929712518e-08	-0.190558521	24	6.379	3.653e-15	rs1752684	1
ENSG00000197721	CR1L	1	207818458	207911761	1	protein_coding	1379	CR1L	3.55709649735169e-15	0.116485807	2	8.867	3.414e-10	rs11118328	1
ENSG00000136717	BIN1	2	127805603	127864931	-1	protein_coding	274	BIN1	0.474193121768888	NA	28	12.28	3.719e-16	rs10929007;rs35103166;rs7561528;rs13004848;rs12617835	2
ENSG00000198087	CD2AP	6	47445525	47594999	1	protein_coding	23607	CD2AP	0.813221347122531	0.233036187	92	13.99	3.052e-08	rs9381563	3
ENSG00000146904	EPHA1	7	143087382	143105985	-1	protein_coding	2041	EPHA1	5.30365074340992e-11	0.065892851	15	4.244	1.417e-11	rs10808026;rs7810606;rs11771145;rs10226151;rs62472730	4
ENSG00000185899	TAS2R60	7	143140546	143141502	1	protein_coding	338398	TAS2R60	6.30040071512039e-06	0.096102442	1	9.345	4.31e-08	rs10226151	4
ENSG00000120899	PTK2B	8	27168999	27316903	1	protein_coding	2185	PTK2B	0.984520870569303	-0.296269216	15	5.891	3.273e-09	rs28834970	5
ENSG00000120885	CLU	8	27454434	27472548	-1	protein_coding	1191	CLU	NA	0.073359274	14	8.441	2.477e-17	rs7982;rs9331908	5
ENSG00000149534	MS4A2	11	59855734	59863444	1	protein_coding	2206	MS4A2	6.49875397938143e-05	0.294740671	24	7.652	2.577e-10	rs2855017;rs1582763	6
ENSG00000110077	MS4A6A	11	59939081	59952139	-1	protein_coding	64231	MS4A6A	1.49231954313632e-09	0.437292717	36	11.31	6.635e-11	rs1582763;rs2855017	6
ENSG00000214787	MS4A4E	11	59968726	60010561	-1	protein_coding	643680	MS4A4E	0.515839923885565	NA	63	13.78	7.442e-11	rs1582763;rs2855017	6
ENSG00000110079	MS4A4A	11	60048014	60076445	1	protein_coding	51338	MS4A4A	0.000743081971054817	-0.238270308	7	8.291	3.72e-12	rs1582763;rs2855017;rs72924659	6
ENSG00000166926	MS4A6E	11	60102304	60164069	1	protein_coding	245802	MS4A6E	0.72055108088883	0.373918296	5	12.13	5.354e-13	rs72924659;rs1582763	6
ENSG00000073921	PICALM	11	85668727	85780924	-1	protein_coding	8301	PICALM	0.972083090436883	NA	34	12.16	1.908e-12	rs10792832;rs7114401	7
ENSG00000137642	SORL1	11	121322912	121504402	1	protein_coding	6653	SORL1	0.0174141233573499	-0.445132622	4	3.602	4.976e-11	rs11218343;rs573605	8
ENSG00000140090	SLC24A4	14	92788925	92962596	1	protein_coding	123041	SLC24A4	3.16711232181816e-06	-0.678266133	1	9.141	4.097e-08	rs12590654	9
ENSG00000134757	DSG3	18	29027758	29058665	1	protein_coding	1830	DSG3	3.35935663514832e-13	1.554135915	3	13.37	NA	rs8093731	10
