ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000253313	C1orf210	1	43747554	43751288	-1	protein_coding	149466	C1orf210	0.00121963583096512	0.676593983	2	16.67	4.225e-07	rs2275180	1
ENSG00000066056	TIE1	1	43766664	43788779	1	protein_coding	7075	TIE1	8.71416663313257e-12	-0.019633805	28	16.67	3.262e-08	rs2275180;rs2842198	1
ENSG00000117400	MPL	1	43803478	43818443	1	protein_coding	4352	MPL	1.43928006099179e-06	-0.172843809	18	22.4	6.824e-08	rs2842198;rs2275180	1
ENSG00000117399	CDC20	1	43824626	43828874	1	protein_coding	991	CDC20	0.000181853834795088	-0.322700115	12	22.4	7.493e-08	rs2842198;rs2275180	1
ENSG00000066322	ELOVL1	1	43829068	43833696	-1	protein_coding	64834	ELOVL1	0.223414530247304	NA	16	22.4	6.244e-08	rs2842198;rs2275180	1
ENSG00000159479	MED8	1	43849588	43855479	-1	protein_coding	112950	MED8	8.1582621367423e-06	0.403723391	18	18.26	3.653e-08	rs2842198;rs2275180	1
ENSG00000198198	SZT2	1	43855553	43918321	1	protein_coding	23334	SZT2	1.51746679777732e-07	0.623916217	58	18.87	3.653e-08	rs2842198;rs2275180	1
ENSG00000178922	HYI	1	43916824	43919660	-1	protein_coding	81888	HYI	3.15819250162145e-08	-0.187049626	16	18.87	1.424e-07	rs2842198;rs2275180	1
ENSG00000142949	PTPRF	1	43990858	44089343	1	protein_coding	5792	PTPRF	0.999998378977356	-1.116923282	119	18.13	1.531e-11	rs673253;rs34898652;rs35947542;rs11420276;rs492929;rs150623615;rs549845	1
ENSG00000066135	KDM4A	1	44115829	44171186	1	protein_coding	9682	KDM4A	0.999993865120135	-1.029432354	63	17.97	1.083e-12	rs150623615;rs549845;rs11420276;rs673253;rs34898652;rs3791101;rs492929	1
ENSG00000126091	ST3GAL3	1	44171495	44396831	1	protein_coding	6487	ST3GAL3	0.573989459299218	0.35827043	178	17.97	6.452e-13	rs11420276;rs3791101;rs492929;rs150623615;rs3952787	1
ENSG00000117407	ARTN	1	44398992	44402913	1	protein_coding	9048	ARTN	0.293100341552423	-0.349064033	7	8.056	2.839e-06	rs3952787	1
ENSG00000117408	IPO13	1	44412611	44433694	1	protein_coding	9670	IPO13	0.972444338181171	-1.047462746	2	5.488	1.06e-05	rs3952787	1
ENSG00000132768	DPH2	1	44435672	44439041	1	protein_coding	1802	DPH2	0.00684674768380938	0.103530113	1	0.513	3.971e-05	rs3952787	1
ENSG00000117410	ATP6V0B	1	44440159	44443967	1	protein_coding	533	ATP6V0B	0.927635231427402	-0.400284464	1	0.513	3.971e-05	rs3952787	1
ENSG00000117411	B4GALT2	1	44444615	44456840	1	protein_coding	8704	B4GALT2	0.295417380860886	-0.049213329	1	0.513	3.971e-05	rs3952787	1
ENSG00000196517	SLC6A9	1	44457172	44497139	-1	protein_coding	6536	SLC6A9	0.0442530405880805	-0.177975638	2	1.522	1.045e-10	rs3791101;rs3952787	1
ENSG00000169851	PCDH7	4	30722037	31148422	1	protein_coding	5099	PCDH7	NA	NA	63	18.34	1.152e-08	rs28411770	4
ENSG00000128573	FOXP2	7	113726382	114333827	1	protein_coding	93986	FOXP2	0.996178831092855	-0.404517141	94	18.18	1.585e-08	rs5886709;rs34291892	7
ENSG00000156395	SORCS3	10	106400859	107024993	1	protein_coding	22986	SORCS3	0.325134263508276	0.170375294	132	20.1	1.76e-08	rs11591402	9
ENSG00000139318	DUSP6	12	89741009	89747048	-1	protein_coding	1848	DUSP6	0.911205141065287	-0.308177435	2	23.2	1.643e-09	rs1427829	10
ENSG00000137872	SEMA6D	15	47476298	48066420	1	protein_coding	80031	SEMA6D	0.999469975966626	-0.259466766	54	17.68	2.986e-09	rs8039398	11
