GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000187634	1	860260	879955	4	1	8094095	-1.3024	0.90361	SAMD11
ENSG00000188976	1	879584	894689	27	1	8094095	-2.6907	0.99643	NOC2L
ENSG00000187961	1	895967	901095	15	2	8094095	-2.0309	0.97887	KLHL17
ENSG00000187583	1	901877	911245	1	1	8094095	-0.54493	0.7071	PLEKHN1
ENSG00000187642	1	910579	917497	15	3	8094095	1.3813	0.083592	C1orf170
ENSG00000188290	1	934342	935552	4	2	8094095	2.3363	0.009737	HES4
ENSG00000187608	1	948803	949920	1	1	8094095	-0.3255	0.6276	ISG15
ENSG00000188157	1	955503	991496	14	3	8094095	-0.73124	0.76768	AGRN
ENSG00000131591	1	1017198	1051741	72	2	8094095	1.1684	0.12132	C1orf159
ENSG00000162571	1	1109264	1133315	45	5	8094095	-1.6969	0.95514	TTLL10
ENSG00000186827	1	1146706	1149518	3	1	8094095	-0.40484	0.6572	TNFRSF4
ENSG00000078808	1	1152288	1167411	77	1	8094095	0.038037	0.48483	SDF4
ENSG00000176022	1	1167629	1170421	2	1	8094095	-0.37903	0.64767	B3GALT6
ENSG00000184163	1	1177826	1182102	9	2	8094095	-0.013419	0.50535	FAM132A
ENSG00000160087	1	1189289	1209265	21	2	8094095	-0.57391	0.71698	UBE2J2
ENSG00000162572	1	1215816	1227409	10	2	8094095	-0.99973	0.84128	SCNN1D
ENSG00000131584	1	1227756	1244989	19	3	8094095	-0.336	0.63157	ACAP3
ENSG00000169972	1	1243947	1247057	2	1	8094095	-0.93742	0.82573	PUSL1
ENSG00000127054	1	1246965	1260071	10	2	8094095	0.07613	0.46966	CPSF3L
ENSG00000224051	1	1260136	1264277	8	2	8094095	0.60939	0.27113	GLTPD1
ENSG00000169962	1	1266694	1270686	6	2	8094095	0.60236	0.27347	TAS1R3
ENSG00000107404	1	1270656	1284730	22	3	8094095	0.5956	0.27572	DVL1
ENSG00000162576	1	1288069	1297157	22	3	8094095	0.76655	0.22167	MXRA8
ENSG00000175756	1	1309110	1310875	6	2	8094095	0.019012	0.49242	AURKAIP1
ENSG00000221978	1	1321091	1334708	19	4	8094095	0.65668	0.25569	CCNL2
ENSG00000224870	1	1334902	1337426	10	3	8094095	1.0974	0.13623	RP4-758J18.2
ENSG00000242485	1	1337288	1342693	11	3	8094095	0.96287	0.16781	MRPL20
ENSG00000235098	1	1353800	1357149	5	1	8094095	0.54676	0.29227	ANKRD65
ENSG00000205116	1	1361508	1363167	3	1	8094095	-0.32898	0.62892	TMEM88B
ENSG00000179403	1	1370241	1378262	10	1	8094095	-1.2748	0.89881	VWA1
ENSG00000215915	1	1385069	1405538	33	1	8094095	-0.45016	0.6737	ATAD3C
ENSG00000160072	1	1407143	1433228	18	2	8094095	0.71593	0.23702	ATAD3B
ENSG00000197785	1	1447531	1470067	58	5	8094095	-0.11195	0.54457	ATAD3A
ENSG00000205090	1	1470554	1475833	6	1	8094095	-0.11629	0.54629	TMEM240
ENSG00000160075	1	1477053	1510249	87	5	8094095	-0.28022	0.61035	SSU72
ENSG00000215014	1	1510355	1511373	5	1	8094095	0.11741	0.45327	AL645728.1
ENSG00000189339	1	1592939	1624167	25	2	8094095	1.154	0.12425	SLC35E2B
ENSG00000008128	1	1634169	1655766	71	2	8094095	0.5576	0.28856	CDK11A
ENSG00000215790	1	1656277	1677431	48	4	8094095	0.10208	0.45935	SLC35E2
ENSG00000008130	1	1682671	1711896	64	6	8094095	-0.64291	0.73986	NADK
ENSG00000078369	1	1716729	1822495	131	10	8094095	-0.60181	0.72635	GNB1
ENSG00000169885	1	1846266	1848735	10	3	8094095	0.45146	0.32583	CALML6
ENSG00000178821	1	1849029	1850712	6	2	8094095	0.40918	0.34121	TMEM52
ENSG00000142609	1	1853396	1935276	271	14	8094095	1.2407	0.10736	C1orf222
ENSG00000187730	1	1950780	1962192	12	1	8094095	0.21266	0.4158	GABRD
ENSG00000067606	1	1981909	2116834	333	15	8094095	-1.3387	0.90966	PRKCZ
ENSG00000162585	1	2115903	2144159	40	6	8094095	-0.7733	0.78033	C1orf86
ENSG00000269554	1	2121237	2123179	1	1	8094095	-0.30969	0.6216	AL590822.2
ENSG00000203301	1	2143360	2145620	2	1	8094095	0.48235	0.31478	AL590822.1
ENSG00000157933	1	2160134	2241558	104	10	8094095	0.6978	0.24265	SKI
ENSG00000116151	1	2252692	2323146	71	8	8094095	2.2015	0.01385	MORN1
ENSG00000157916	1	2323267	2336883	14	3	8094095	0.039346	0.48431	RER1
ENSG00000157911	1	2336236	2345236	6	2	8094095	0.11021	0.45612	PEX10
ENSG00000149527	1	2357419	2436969	44	7	8094095	0.89244	0.18608	PLCH2
ENSG00000157881	1	2439972	2458039	30	2	8094095	2.1303	0.016572	PANK4
ENSG00000197921	1	2460184	2461684	1	1	8094095	-0.61221	0.7298	HES5
ENSG00000157873	1	2487078	2496821	15	2	8094095	1.319	0.093587	TNFRSF14
ENSG00000157870	1	2517930	2522908	8	3	8094095	1.5072	0.065883	FAM213B
ENSG00000142606	1	2522078	2564481	165	6	8094095	2.2531	0.012127	MMEL1
ENSG00000215912	1	2567415	2718286	296	12	8094095	1.5249	0.063643	TTC34
ENSG00000169717	1	2938046	2939465	4	1	8094095	-0.79835	0.78767	ACTRT2
ENSG00000142611	1	2985732	3355185	840	80	8094095	1.9369	0.026379	PRDM16
ENSG00000130762	1	3370990	3397677	84	7	8094095	0.63708	0.26203	ARHGEF16
ENSG00000162591	1	3406484	3528059	57	10	8094095	-1.5325	0.93729	MEGF6
ENSG00000158109	1	3541566	3546691	15	4	8094095	-0.029333	0.5117	TPRG1L
ENSG00000116213	1	3547331	3569325	42	8	8094095	-0.9469	0.82815	WRAP73
ENSG00000078900	1	3569084	3652765	97	18	8094095	-0.042805	0.51707	TP73
ENSG00000162592	1	3668962	3688209	61	10	8094095	-0.6423	0.73966	CCDC27
