ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000197915	HRNR	1	152184558	152196669	-1	protein_coding	388697	HRNR	5.01202544702428e-29	1.441638117	1	3.041	4.912e-14	rs147288664	1
ENSG00000143631	FLG	1	152274651	152297679	-1	protein_coding	2312	FLG	NA	-0.226739989	1	0.438	NA	rs147288664	1
ENSG00000143536	CRNN	1	152381719	152386739	-1	protein_coding	49860	CRNN	0.000495360508958453	0.51643846	1	0.161	NA	rs147288664	1
ENSG00000163344	PMVK	1	154897210	154909467	-1	protein_coding	10654	PMVK	0.000305454915643329	-0.527689982	1	4.842	2.74e-08	rs35749011	2
ENSG00000163346	PBXIP1	1	154916552	154928599	-1	protein_coding	57326	PBXIP1	5.79843921369484e-07	0.443722875	1	4.842	2.74e-08	rs35749011	2
ENSG00000160685	ZBTB7B	1	154975127	154990998	1	protein_coding	51043	ZBTB7B	0.837393370882557	NA	1	15.99	3.826e-10	rs35749011	2
ENSG00000163354	DCST2	1	154990996	155006257	-1	protein_coding	127579	DCST2	1.45881629274481e-09	0.250200946	1	15.99	3.826e-10	rs35749011	2
ENSG00000169242	EFNA1	1	155099936	155107333	1	protein_coding	1942	EFNA1	0.872063427950098	0.409868429	2	5.367	4.058e-17	rs35749011	2
ENSG00000169241	SLC50A1	1	155107820	155111329	1	protein_coding	55974	SLC50A1	0.130229792296048	-0.609412945	3	12.17	4.058e-17	rs35749011	2
ENSG00000179085	DPM3	1	155112367	155113071	-1	protein_coding	54344	DPM3	0.233470170067034	0.032111124	3	12.17	4.058e-17	rs35749011	2
ENSG00000163463	KRTCAP2	1	155141884	155145951	-1	protein_coding	200185	KRTCAP2	0.0299704903065574	-0.290243823	1	0.198	4.713e-18	rs35749011	2
ENSG00000273088	RP11-201K10.3	1	155141885	155159748	-1	protein_coding	NA	NA	NA	NA	1	0.198	4.713e-18	rs35749011	2
ENSG00000177628	GBA	1	155204243	155214490	-1	protein_coding	2629	GBA	0.0340405400496017	-0.78504846	2	17.22	2.499e-17	rs35749011;rs35777901;rs35603727	2
ENSG00000116539	ASH1L	1	155305059	155532598	-1	protein_coding	55870	ASH1L	0.999999999999834	-0.515030375	4	7.101	2.143e-16	rs35749011;rs35777901;rs35603727	2
ENSG00000116580	GON4L	1	155719508	155829191	-1	protein_coding	54856	GON4L	0.999998891638014	-0.637167859	1	0.655	NA	rs35749011;rs35777901;rs35603727	2
ENSG00000132718	SYT11	1	155829300	155854990	1	protein_coding	23208	SYT11	0.801740134718319	-1.924430366	1	0.655	NA	rs35749011;rs35777901;rs35603727	2
ENSG00000132680	KIAA0907	1	155882834	155904191	-1	protein_coding	22889	KIAA0907	0.99711361843545	-0.510403212	1	3.798	NA	rs35749011;rs35603727	2
ENSG00000160803	UBQLN4	1	156005092	156023585	-1	protein_coding	56893	UBQLN4	0.997522419654586	-0.671923208	2	1.399	5.283e-12	rs35603727	2
ENSG00000116586	LAMTOR2	1	156024543	156028301	1	protein_coding	28956	LAMTOR2	0.481086311682732	-0.350910656	1	0.041	9.786e-09	rs35603727	2
ENSG00000132698	RAB25	1	156030951	156040295	1	protein_coding	57111	RAB25	9.31079417686485e-06	-0.280558233	1	0.041	9.786e-09	rs35603727	2
ENSG00000160789	LMNA	1	156052364	156109880	1	protein_coding	4000	LMNA	0.993449023376761	-0.151530173	1	9.43	6.106e-08	rs35603727	2
ENSG00000196189	SEMA4A	1	156117157	156147543	1	protein_coding	64218	SEMA4A	0.615371620982326	-0.205497495	1	1.968	1.131e-08	rs35603727	2
ENSG00000160785	SLC25A44	1	156163880	156182587	1	protein_coding	9673	SLC25A44	0.247810862226725	0.031341681	1	1.968	1.131e-08	rs35603727	2
ENSG00000163468	CCT3	1	156278759	156337664	-1	protein_coding	7203	CCT3	0.998745412971341	-0.354171565	2	4.225	7.685e-07	rs35603727	2
ENSG00000163467	TSACC	1	156307105	156316786	1	protein_coding	128229	TSACC	0.0697917263737303	-0.097382218	2	4.225	7.685e-07	rs35603727	2
ENSG00000158715	SLC45A3	1	205626979	205649587	-1	protein_coding	85414	SLC45A3	0.0368495348530263	0.153853864	6	8.151	1.989e-09	rs2153904	3
ENSG00000069275	NUCKS1	1	205681947	205719404	-1	protein_coding	64710	NUCKS1	0.979237657935801	-0.744722561	19	22.8	3.299e-08	rs2153904;rs823116	3
ENSG00000268313	AC119673.1	1	205682497	205684153	1	protein_coding	NA	NA	NA	NA	9	17.61	1.462e-07	rs2153904;rs823116	3
ENSG00000117280	RAB7L1	1	205737114	205744588	-1	protein_coding	8934	RAB7L1	0.790354891047754	2.652801346	5	5.992	3.682e-08	rs2153904;rs823116	3
ENSG00000133065	SLC41A1	1	205758221	205782876	-1	protein_coding	254428	SLC41A1	0.705784064695467	-0.914640424	1	0.05	NA	rs823116	3
ENSG00000152128	TMEM163	2	135213330	135476570	-1	protein_coding	81615	TMEM163	0.0672624651374226	0.397258421	37	13.08	3.162e-06	rs6741007	4
ENSG00000153086	ACMSD	2	135596117	135659604	1	protein_coding	130013	ACMSD	1.98871537094846e-07	-0.263455192	8	14.87	1.087e-07	rs6741007	4
ENSG00000198648	STK39	2	168810530	169104651	-1	protein_coding	27347	STK39	0.999462431417641	-1.274787931	6	15.52	9.473e-11	rs4613239	5
ENSG00000043093	DCUN1D1	3	182655862	182703741	-1	protein_coding	54165	DCUN1D1	0.990513001427957	-1.788973556	8	4.015	1.167e-07	rs4859267;rs12637471	6
ENSG00000078070	MCCC1	3	182733006	182833863	-1	protein_coding	56922	MCCC1	2.51105898766941e-05	-0.330513399	65	20.6	9.784e-12	rs4859267;rs12637471	6
ENSG00000078081	LAMP3	3	182840001	182881627	-1	protein_coding	27074	LAMP3	0.833342526965146	0.577259361	1	8.739	5.439e-06	rs12637471	6
ENSG00000178950	GAK	4	843064	926161	-1	protein_coding	2580	GAK	0.973134951387495	-0.566430958	90	16.59	8.676e-16	rs11248059;rs56039006;rs6599388;rs10017289	7
